Date,ID,CCLnt,SCL,Weight,Water Column Depth,Easting,Northing
07-Jul-05,A247,34.9,32.4,4.05,0.7,358785,2069452
10-Jul-05,A247,34.6,32.3,4.05,NA,NA,NA
01-Aug-05,A247,35,32.8,4.1,0.6,360659,2069387
24-Aug-05,A247,34.9,32.6,NA,1.2,358691,2069441
07-Jul-05,A248,48.1,44.3,10.3,0.8,359095,2069944
12-Aug-05,A248,47.7,45,10.35,0.8,358909,2070122
11-Jul-05,A257,31.4,29,3.2,1.3,357509,2069868
15-Aug-05,A257,33,30.4,3.6,0.8,357647,2069886
08-Sep-05,A257,NA,NA,NA,1.3,NA,NA
21-Sep-05,A257,34.3,32,4.26,1.2,NA,NA
20-Jun-05,A263,33.5,NA,NA,NA,NA,NA
25-Jul-05,A263,35.1,33,4.1,0.6,361752,2069114
19-Jul-05,A275,30.2,28.5,3.2,0.5,360252,2069597
12-Aug-05,A275,31.6,29.2,3.45,0.9,360191,2069627
18-Aug-05,A275,32.2,29.5,3.25,0.6,359755,2069959
23-Jul-05,A288,42.6,40.3,7.95,0.7,361272,2069563
01-Sep-05,A288,44.6,40.8,8.35,0.9,360796,2069560
08-Sep-05,A288,44.3,40.7,7.95,0.9,NA,NA
21-Nov-03,A028,24,NA,1.53,0.9,361522,2068818
20-Feb-04,A028,NA,NA,NA,1.2,361512,2068808
19-May-04,A028,NA,29.2,3.25,0.8,361537,2068813
23-Sep-04,A028,36.8,34.2,5.04,0.8,361506,2068817
16-May-05,A028,44.5,NA,8.6,0.5,NA,NA
20-Jun-05,A028,44,NA,NA,NA,NA,NA
09-Dec-04,A215,35.2,32.6,4.14,0.9,NA,NA
01-Mar-05,A215,37.2,34.9,4.98,0.7,NA,NA
18-May-05,A229,34,31.6,4.4,0.6,NA,NA
11-Jul-05,A229,35.5,33.4,5.3,0.8,360385,2069519
27-Jul-05,A229,36.5,34,5.45,0.6,360426,2069557
25-Aug-05,A229,37.9,34.8,NA,0.9,360423,2069521
27-Aug-05,A229,37.9,34.9,7,0.5,361605,2068964
01-Sep-05,A362,42.7,38.8,7.5,0.8,358807,2069691
11-Sep-05,A362,NA,NA,NA,0.7,NA,NA
20-Nov-03,A016,30,NA,2.77,0.9,352373,2091827
29-Feb-04,A016,NA,NA,NA,1,358940,2069424
21-Nov-03,A027,36,NA,NA,0.9,361522,2068818
06-Dec-03,A058,43.9,NA,NA,NA,NA,NA
09-Dec-03,A061,27,NA,2.2,0.4,363112,2067178
16-Feb-04,A084,24,NA,1.8,1,358437,2069637
23-May-04,A084,NA,25.9,2.32,0.6,358679,2069478
18-May-05,A084,38,35.3,5.85,0.7,NA,NA
25-Jul-05,A084,39.5,36.9,6.3,0.8,359503,2070003
03-Aug-05,A084,39.3,36.7,6.45,0.9,358771,2069418
17-Feb-04,A091,37,35.1,4.92,0.6,363153,2068593
18-Jul-04,A091,41.9,39.7,6.68,0.7,363018,2068686
20-Feb-04,A095,25.2,23.5,NA,2.3,366304,2067556
23-Feb-04,A100,32,28.5,2.86,0.9,362947,2068730
21-May-04,A125,23.7,22.2,1.38,4.6,361280,2066266
18-Jul-04,A154,34.7,32.1,4.06,0.9,362491,2069006
23-Sep-04,A166,35.7,33.5,4.68,0.7,361703,2068859
29-Nov-04,A166,37.4,35.3,5.45,0.9,NA,NA
25-Sep-04,A172,36.3,34.9,5.22,1.3,359712,2068833
25-Sep-04,A174,37.1,34.8,5.42,0.4,357796,2070179
06-Aug-05,A174,44.4,41.6,9.4,0.6,358951,2070168
08-Sep-05,A174,44.9,41.3,9.9,0.8,NA,NA
30-Sep-04,A175,30.3,28.4,2.54,1.6,361453,2068743
29-Nov-04,A175,32.2,30.3,3.4,1.4,NA,NA
20-Jun-05,A175,38,NA,NA,NA,NA,NA
29-Nov-04,A211,40.2,37.7,6.6,0.9,NA,NA
03-Sep-05,A211,46,43.1,9.8,0.7,362257,2068423
09-Dec-04,A214,38,34.9,5.26,0.8,NA,NA
11-Jul-05,A214,42.4,39.3,7.5,0.6,360682,2069463
18-May-05,A233,40,37.9,5.95,0.9,NA,NA
20-Jul-05,A233,41.6,39.4,6.9,0.6,359088,2069920
25-Jul-05,A233,41.8,39.1,6.7,0.8,359514,2069981
16-Jul-05,A270,30.7,28.2,2.8,0.4,361727,2069001
27-Aug-05,A270,31.3,29.4,NA,0.6,361739,2069051
05-Aug-05,A315,30.1,27.3,2.65,1.2,365855,2067028
27-Aug-05,A315,29.8,27.6,3.1,1,365741,2066981
25-Aug-05,A343,34,31.8,NA,1,359059,2069852
07-Sep-05,A343,NA,NA,4.15,0.9,NA,NA
17-Jun-05,A388 (y),36,NA,NA,NA,NA,NA
07-Jul-05,A388 (y),33.9,31.4,3.55,0.7,358785,2069452
16-Nov-03,A008,NA,NA,NA,NA,343707,2080918
02-Dec-03,A044,28,NA,2.22,0.6,360443,2069534
29-Feb-04,A044,NA,28.1,NA,0.8,360415,2069498
09-Dec-04,A044,36.8,34.5,4.68,0.7,NA,NA
18-Aug-05,A044,40.2,37.7,6,0.6,360368,2069607
29-Feb-04,A105,26.2,25.9,2.34,1.1,359937,2069008
30-Nov-03,A038,39,NA,5.96,NA,365747,2066996
13-Jul-04,A139,30.2,28.2,3.02,0.8,357822,2073078
20-Nov-03,A018,41,NA,6.32,NA,353379,2096523
23-May-04,A018,NA,41.3,8.48,0.4,359881,2069644
21-Sep-05,A018,52,48.3,12.74,1.5,NA,NA
21-Nov-03,A023,33,NA,NA,NA,NA,NA
23-May-04,A023,NA,33.4,4.7,0.6,358679,2069478
21-Nov-03,A026,40,NA,5.31,0.9,361522,2068818
09-Aug-05,A026,50.3,46.2,10.4,1.3,356584,2070144
24-Nov-03,A031,41.5,NA,7.18,NA,357466,2069879
24-Nov-03,A032,23,NA,1.24,NA,357466,2069879
30-Nov-03,A040,43,NA,8.2,NA,365747,2066996
23-Feb-04,A097,29.5,20.2,3.2,0.6,361914,2069253
19-May-05,A097,36.8,34.6,5.5,0.7,NA,NA
29-Feb-04,A107,23.3,22,1.5,1.1,359434,2069150
25-Sep-04,A107,32.5,30.3,3.38,0.7,360215,2069363
19-May-04,A119,31.8,29.5,3.28,0.4,361751,2069064
23-Sep-04,A119,35,33,4.64,0.7,361703,2068859
10-Dec-04,A119,36.5,34.7,5.4,0.9,NA,NA
22-Sep-04,A161,36,34,4.96,0.8,361846,2069203
04-Aug-05,A161,40.5,37.8,6.75,0.9,361963,2069166
01-Mar-05,A224,50.1,46.1,12.4,0.8,NA,NA
01-Aug-05,A224,52.3,49.3,13.6,0.8,360476,2069483
20-Jul-05,A280,34.3,32.1,3.7,0.4,359518,2069985
25-Aug-05,A280,35.3,33.3,NA,0.9,359270,2069950
17-Sep-05,A280,NA,NA,NA,0.9,NA,NA
01-Sep-05,A365,35.4,32,4,0.8,357857,2069979
10-Sep-05,A365,NA,NA,NA,0.6,NA,NA
21-Nov-03,A022,36.3,NA,4.95,1.3,359475,2069192
23-May-04,A022,NA,35.6,5.38,0.9,359943,2069027
22-Nov-03,A029,43,NA,9.06,NA,343819,2086795
17-Jun-05,A389 (z),40.5,NA,NA,NA,NA,NA
22-Sep-05,A389 (z),44.2,40.2,8.94,0.7,NA,NA
17-Jul-06,A389 (z),49.1,NA,NA,NA,NA,NA
21-Nov-03,A024,33,NA,3.63,NA,361455,2068750
11-Dec-03,A071,28.6,NA,2.58,0.6,357873,2072870
27-Nov-04,A071,35.4,33.2,4.2,NA,NA,NA
12-Jul-05,A071,39,36,5.6,0.6,357842,2072877
02-Aug-05,A071,39.6,36.5,5.9,0.5,357467,2072977
25-May-04,A129,55.5,51.3,16.45,1.9,366070,2068041
23-Sep-04,A165,27.3,25.5,1.96,0.7,361703,2068859
20-Jun-05,A165,33,NA,NA,NA,NA,NA
09-Jul-05,A165,34.7,32,4.1,0.7,361580,2069035
25-Sep-04,A170,26.3,24.7,1.78,0.8,360421,2069518
11-Jul-05,A170,35.5,33,4.45,0.9,360138,2069618
25-Sep-04,A173,45.9,43.5,9.1,1.3,359712,2068833
25-Nov-04,A180,35.5,33.2,4.3,0.9,362785,2068853
09-Jul-05,A180,39.5,36.4,5.7,0.9,362986,2068669
16-Nov-03,A007,NA,NA,NA,NA,343793,2079844
20-Nov-03,A010,36.5,NA,4.82,NA,343793,2079844
20-Nov-03,A013,23.9,NA,1.32,NA,343793,2079844
20-Nov-03,A014,33.5,NA,3.52,0.9,352373,2091827
20-Nov-03,A015,49.5,NA,11.42,0.9,352373,2091827
20-Nov-03,A017,48.8,NA,11.82,0.9,352373,2091827
16-Feb-04,A017,NA,NA,NA,NA,358993,2069457
23-May-04,A017,NA,49.1,15.65,0.9,358868,2069491
30-Sep-04,A017,NA,52.2,19.15,1.3,359000,2069462
