"generations","abundance"
1,1500
2,2520
3,4027.968
4,5952.38030327808
5,7879.81804391232
6,9216.34988662888
7,9794.14137731085
8,9955.43805365933
9,9990.92874936693
10,9998.17916686634
11,9999.6355681386
12,9999.92710300287
